# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6
5.704130699999999769e-03 1.199744228496856712e-32 1.742264638755673716e-30 2.998919562561111223e-31 2.564920490231184000e-31 1.104284300888255587e-30 3.484447468154863903e-31 3.274381305368888037e-27
6.274543799999999887e-03 1.918012423284652345e-36 3.833859220896474162e-32 1.298296892686748677e-33 5.345802296951790838e-33 7.986218206239636530e-35 3.136422532507312293e-33 5.539220254701520155e-32
6.844956800000000403e-03 6.278958318201335254e-32 4.626410087425657287e-31 1.499126259084193271e-31 1.275249289308824112e-33 1.777110468211969687e-32 4.683447765406048401e-31 4.662689946186837456e-31
7.415369899999999653e-03 3.706483189692064899e-31 9.695432819684976505e-33 5.689933039447242270e-32 3.971068003881298430e-33 8.270368882782108305e-32 3.283341720433665613e-33 3.752445750579071264e-32
7.985782999999999771e-03 3.047892817053213997e-32 2.173751042528938636e-33 5.214338654840815018e-33 1.350853169603768288e-33 4.518868807124318072e-34 4.367718457139657119e-33 3.094769492376388042e-32
8.556196000000000287e-03 1.520473146126848025e-31 1.307991091712765458e-31 4.476965281120896291e-32 2.128355264252082553e-32 1.484456024056727492e-31 4.279065851512660210e-32 6.379381457777386355e-31
9.126609100000000405e-03 1.719602174970395960e-33 1.084138412364677930e-32 1.237353740170900874e-33 2.849207406471644243e-33 1.343971070750236731e-33 9.639395223338172572e-36 8.164787996978761048e-34
9.697022200000000522e-03 7.992441100945157488e-33 1.502926667096213550e-31 6.621275631441601027e-33 5.275916094537236545e-33 4.045289901255595902e-32 2.613242899247649576e-34 4.425224682323894133e-33
1.026743519999999930e-02 1.599077189251693901e-34 1.632636754331530204e-33 3.752733716185401645e-35 1.583550250939806705e-34 5.833569995232987491e-34 4.104156379141306785e-37 4.899606889678956468e-34
1.083784829999999942e-02 1.286542664827663671e-33 2.236163521223881438e-33 4.885563175390588923e-35 6.624420895308400906e-34 1.281365118407520927e-34 1.089499206103214731e-35 9.810837291060297533e-34
1.140826139999999954e-02 2.472774000759405234e-34 5.929103370165601390e-33 9.112182125401748246e-33 8.819308012826693291e-33 3.728580411833309401e-33 3.770942168799709203e-35 2.167834312143844899e-33
1.197867440000000006e-02 5.355528121036490578e-34 4.586281215985058566e-34 7.226912021155112618e-33 5.743040902392659110e-34 4.874320058877787537e-32 3.298645804356924218e-33 1.033964735147117630e-32
1.254908750000000017e-02 8.798074041988619707e-35 4.320669633839896742e-35 1.032374630280274173e-35 1.231899802999854900e-34 2.136576118538583000e-34 4.211208515365272582e-35 6.153904917256472831e-35
1.311950060000000029e-02 1.196346372936297638e-33 8.552891419866838144e-34 3.775536802046857264e-37 2.805511323108753207e-34 3.290882141314364721e-34 3.241375906430720442e-34 1.824450811690360990e-35
1.368991360000000081e-02 2.720780267159260027e-33 8.746854160913310310e-33 8.225784978514409113e-34 4.417850983083722141e-33 8.424601050492712296e-35 2.714499818848697662e-33 2.766612573571808939e-34
1.426032669999999919e-02 1.514854975706989556e-32 2.384172826416912357e-33 2.953027344834055904e-35 2.645099356844592798e-34 9.617298362000729943e-34 4.850047930345599049e-34 3.331140420439780725e-34
