# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
3.813592789999999816e-02 1.559765304819257010e-33 2.251791180617872772e-33 1.575565424002069184e-32 3.131644956464678626e-33
3.868862249999999864e-02 5.458883632090235884e-33 1.974736849941100554e-33 6.980207981625015661e-34 9.987453129483408929e-34
3.924131709999999912e-02 9.077329134712227558e-32 2.731180363942157971e-32 2.643861569980793180e-32 2.413240957285289941e-32
3.979401169999999960e-02 6.233313740309600689e-33 8.354609089203086176e-33 8.799558384045915682e-33 1.340746168746414056e-32
4.034670630000000008e-02 6.749880406856027952e-33 9.825339865088574900e-34 2.287921555974620972e-32 1.049903240627940461e-34
4.089940090000000056e-02 3.556952468240593595e-32 1.021037926919728911e-32 2.113555385150340653e-32 1.944926462931784289e-32
4.145209550000000104e-02 8.518626651355275616e-33 1.385394664520860816e-31 2.818126884564576146e-31 8.137731628697603911e-35
4.200479020000000285e-02 5.113207170036527592e-32 2.655850898262878639e-32 4.047243057562229375e-33 4.233068591042125703e-33
4.255748480000000333e-02 1.061376740813051679e-32 5.128940100202669669e-33 1.105474075932274719e-32 1.503593586212115406e-32
4.311017939999999687e-02 1.779879262179704530e-32 2.420555210748652563e-33 2.336297716547082231e-32 1.935662737123077715e-32
4.366287399999999735e-02 1.152434425936016660e-31 5.775249444956931721e-32 1.061613327838175806e-31 2.171480021965766189e-31
4.421556859999999783e-02 2.600091456540109061e-32 1.512904152083400780e-32 1.696859582910293184e-33 1.780345929965184773e-34
4.476826319999999831e-02 9.808806673778352564e-33 6.285230407015212475e-32 5.029718408316977821e-33 4.606828294821142992e-35
4.532095779999999879e-02 2.811323516280565373e-32 4.125934862308913797e-33 6.671128907415862153e-32 7.893081812233585746e-33
4.587365239999999927e-02 8.367728949028264463e-33 9.705711323110197652e-33 2.671547884554886071e-32 2.399920800438636802e-32
4.642634699999999975e-02 4.413920261646833109e-33 1.678124596489791418e-34 6.834235775574234056e-34 5.515326507737162469e-34
4.697904160000000023e-02 6.679563761426405511e-34 2.136450534531850243e-34 6.795680570802387317e-33 1.188211124639539300e-33
4.753173620000000071e-02 3.766687670834771571e-35 6.445833573607924984e-34 7.221925914929182963e-33 4.907376177622647372e-33
