# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7 psi2_state_8 psi2_state_9 psi2_state_10 psi2_state_11 psi2_state_12 psi2_state_13 psi2_state_14 psi2_state_15 psi2_state_16
-3.176122220000000135e-02 4.726282222546780432e-01 7.293722731496430466e-06 9.941085258705147920e-01 4.423471657946073031e-05 2.299218223408604767e-01 9.125908899616999697e-07 3.316307064763872603e-01 1.348657789558545789e-05 9.101441591561117983e-01 3.380289823350138528e-05 1.006945239633772382e-04 1.464814073427300286e-08 2.641695903642521195e-06 1.171636561492054272e-02 1.425234822321532565e-13 6.767778535006416522e-08 2.066100471703573048e-09
-3.119405750000000047e-02 1.000000000000000000e+00 1.543226237385066695e-05 8.040376921803148690e-04 3.577715963983060726e-08 1.000000000000000000e+00 3.969135598488592742e-06 3.636222677278010303e-03 1.478759336920411532e-07 6.257255942159585249e-01 2.323954768171950755e-05 1.418643167983895054e-03 2.063715478658107292e-07 1.469977647597942924e-07 6.519598088994792151e-04 5.791497725427576858e-12 2.750113564223716024e-06 3.208523747665313385e-11
-3.062689279999999958e-02 4.335958895558790771e-01 6.691365531923428130e-06 1.000000000000000000e+00 4.449686873217411742e-05 2.174424396765093359e-01 8.630585278429110242e-07 4.869362950801174317e-01 1.980246142788199558e-05 7.678617192847581041e-01 2.851850588066636414e-05 2.157604352275914808e-02 3.138690263610124665e-06 1.271731494823948103e-08 5.640343062741664837e-05 2.725203420722359864e-10 1.294072670328026383e-04 5.721120967917608831e-13
-3.005972809999999870e-02 4.719815262500933611e-02 7.283742748471816504e-07 3.344327628452650747e-01 1.488121074788827249e-05 6.293834259752052462e-01 2.498108161332025182e-06 1.000000000000000000e+00 4.066745820397289437e-05 6.337455746185407524e-01 2.353741102465465516e-05 2.504831793129131956e-01 3.643805757474129252e-05 5.061956385188081523e-09 2.245062796638445877e-05 1.105163648451045431e-08 5.247909433278785500e-03 1.590067318482083224e-14
-2.949256349999999915e-02 1.698845658557470752e-03 2.621703193522529218e-08 2.082817225022376081e-02 9.267884465135953342e-07 7.324184625612391308e-02 2.907068192812937016e-07 3.029806350510187984e-01 1.232145231287850649e-05 2.774369706954135650e-01 1.030405303667200508e-05 1.000000000000000000e+00 1.454710758379507910e-04 5.834486781823894692e-09 2.587693029017451582e-05 2.746140591754189902e-07 1.304014762328268573e-01 1.291926226817662296e-15
-2.892539879999999827e-02 2.518948669533209927e-05 3.887307669009230930e-10 4.299106313500787526e-04 1.912967692474525805e-08 2.103980370926031296e-03 8.350983386279452084e-09 1.309389731447924317e-02 5.324955217836982179e-07 1.361389503087234547e-02 5.056222177564356722e-07 1.450985435424024528e-01 2.110764123165166257e-05 1.154392884230641288e-09 5.119926618627873008e-06 2.105912196110750207e-06 1.000000000000000000e+00 4.700320392199695003e-16
-2.835823410000000086e-02 1.804723194425359057e-07 2.785096195087769095e-12 3.850104394303464214e-06 1.713175897476029234e-10 2.325404604504536168e-05 9.229846169785017805e-11 1.842746254788718801e-04 7.493980629417339684e-09 2.056699281537580732e-04 7.638613706404956152e-09 3.691915405306664573e-03 5.370669059041913926e-07 3.317875579561898761e-11 1.471533624914131363e-07 1.839977841326376451e-07 8.737201128414234796e-02 9.551859095475692821e-17
-2.779106939999999998e-02 7.023504991509317888e-10 1.083885814957169420e-14 1.761325505049648012e-08 7.837346955122037031e-13 1.233177907280608423e-07 4.894650296224654911e-13 1.151106895395698008e-06 4.681259146420627064e-11 1.346327762370535457e-06 5.000282667869161600e-11 3.348544795935299044e-05 4.871164137993466418e-09 3.232293088513938969e-13 1.433576316034385169e-09 3.156509750457670982e-09 1.498880036668923501e-03 2.271148221873886006e-18
-2.722390469999999910e-02 1.622013651136839753e-12 2.503133551173718161e-17 4.601250672489680591e-11 2.047412526240058392e-15 3.597909617323083064e-10 1.428059882493450086e-15 3.786711147302047863e-09 1.539959174734381887e-13 4.581232836492504130e-09 1.701477070280574495e-13 1.432996187901004847e-07 2.084594973105279870e-11 1.452322294697870495e-15 6.441292198507048419e-12 2.043538333325436991e-11 9.703815457970544551e-06 1.784022951727379521e-20
-2.665674009999999955e-02 2.381127203970298885e-15 3.674576968381231702e-20 7.447231496842543531e-14 3.313777672821651706e-18 6.348846822176453046e-13 2.519944038822240680e-18 7.330629939819484918e-12 2.981180176256933620e-16 9.101152889046733940e-12 3.380181422651078473e-16 3.383109295370135693e-10 4.921445449825115415e-14 3.554582705547211793e-18 1.576516869279551399e-14 6.503697903560067514e-14 3.088304422262479615e-08 6.486739671815760014e-23
-2.608957539999999867e-02 2.347282735652569721e-18 3.628972684806873806e-23 7.949689431785938009e-17 3.538919685639829430e-21 7.267567316102611367e-16 2.885483968003492382e-21 9.038183504866852734e-15 3.675617275547365926e-19 1.145478593110112760e-14 4.254422667659209599e-19 4.878732883589920278e-13 7.097147532090272758e-17 5.271653463621000188e-21 2.338264067273313781e-17 1.179679356599702768e-16 5.601743927116006608e-11 1.313402475767902601e-25
-2.552241070000000125e-02 1.624484390188926292e-21 2.390580536167758543e-26 5.879844320959622327e-20 2.598186013214189198e-24 5.696590719173182508e-19 2.296507281015469189e-24 7.531485072676804509e-18 3.062736720220584192e-22 9.708193499655144312e-18 3.607341748848971130e-22 4.619983580574004511e-16 6.720765633199890871e-20 5.098663325397366702e-24 2.265138976471686532e-20 1.342368366852141240e-19 6.374567810059906574e-14 7.005407292547342022e-29
-2.495524600000000037e-02 8.185619539325817008e-25 5.658861554579723762e-30 3.135120792990580282e-23 1.275537129602660665e-27 3.193465588744012399e-22 1.538153203932616688e-27 4.443574184904517520e-21 1.801568765837321136e-25 5.809758709612925487e-21 2.183705597284158188e-25 3.033499044595204248e-19 4.415090299799027268e-23 3.455067284649839052e-27 1.517172449817859017e-23 1.025620947460041878e-22 4.871508929461387439e-17 3.539812367311368742e-29
-2.438808129999999949e-02 2.915686729874872639e-28 1.054439612229945954e-29 1.149819688231905938e-26 1.931260572147325298e-29 1.318017310170906733e-25 1.346351204479715889e-30 1.921296391789973046e-24 7.425390448586509427e-29 2.568513997782120351e-24 6.724751093301507415e-29 1.440992376163037421e-22 2.136352341025433908e-26 2.078309354108066742e-30 7.242467032648594068e-27 5.479003580800732895e-26 2.631510461837455108e-20 9.220209350688107328e-37
-2.382091659999999861e-02 2.211833371532595637e-31 1.136622798108313935e-31 8.025184922772920768e-30 9.247136632000964569e-31 8.008458389883322977e-29 2.867122852711930531e-30 1.178022189633464739e-27 2.647852581142430957e-30 9.077568263568053714e-28 2.591528012585077764e-30 5.201662804300156775e-26 2.966807235347216184e-30 8.710397204624415694e-30 7.527547344207781751e-31 2.263429387060619369e-29 1.046149950061837093e-23 8.354888263044496537e-31
-2.325375199999999906e-02 1.741912817858954998e-32 1.253909385377548944e-31 2.776101010989795446e-31 3.089824358920621546e-31 2.522716356177020857e-30 3.128325498132875648e-31 7.170305881927069548e-32 1.108604437737015127e-29 6.204682450008487466e-30 2.232348838854446912e-30 1.464979825751996113e-29 2.461941782260790562e-30 5.969713529069040524e-31 2.852189162401248345e-30 5.443348686862520178e-32 3.076822855595294291e-27 1.249154882185196734e-31
-2.268658730000000165e-02 1.328282836656036488e-32 1.062013021768505451e-30 2.075482511325025824e-33 2.050352548210214121e-33 4.021958212577048335e-31 6.408181567715935674e-31 7.564783116254115555e-31 6.005823991285403466e-30 1.704991462469183392e-31 2.754875383479411112e-32 7.259168134586807254e-31 2.099054062365363868e-33 2.000177371573907769e-31 4.839361774549933718e-31 7.749199427680462554e-31 1.295622221012218891e-31 4.857053670901695505e-31
-2.211942260000000077e-02 8.207447035287312391e-31 7.800941464909150632e-33 3.927013455522685150e-34 7.785577671096243889e-32 4.796582720744476799e-31 7.546114546803871007e-31 1.982632775712434066e-31 8.773242584069877731e-32 1.811331619084035307e-30 1.429238697087359352e-31 8.308107887118715048e-32 1.802047503709823640e-32 8.558107674363295151e-32 3.969730794253262363e-31 1.046699754039276083e-30 6.621806496851130456e-32 1.908787857690597233e-30
