# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-8.806164899999999879e-03 2.775677317488318048e-31 8.301954565364491157e-31 3.077447761653279595e-32 1.958379001505477392e-32 8.447658010571605013e-31 1.046823250142783754e-30 1.568583967671904912e-30 2.545915027806178880e-30
-8.005604499999999235e-03 3.623590594101685634e-32 6.126417604035784776e-31 4.910227093435948373e-30 1.103971081623872198e-30 5.509131306055378968e-32 9.151306050459510968e-31 1.320598008261082735e-28 1.942224464952631675e-30
-7.205043999999999858e-03 1.330904836885890953e-30 9.717754388807267216e-31 4.480563939019115691e-31 5.307646167894126356e-29 2.831070060170475237e-27 9.616896054874254233e-31 8.534828405693578439e-24 3.801599218576424027e-31
-6.404483600000000082e-03 2.945202218965950070e-27 1.551820865483456755e-25 1.955516035946282847e-25 1.043337634275823904e-24 1.303806436683086727e-22 2.362960213204894115e-28 3.702601551807061836e-19 1.790032265754418378e-32
-5.603923099999999838e-03 1.098474917479048789e-22 5.454686185170790231e-21 6.858390971949404409e-21 3.267501157740498594e-20 4.089601939202648704e-18 4.374580463673626242e-24 9.638159835111920074e-15 3.708890226196561246e-28
-4.803362700000000061e-03 2.412165244545996523e-18 1.138436207520171379e-16 1.421114325965718533e-16 5.927482668401938143e-16 7.417909242380806678e-14 6.201148954921553661e-20 1.363380675305499161e-10 7.809071230853636130e-25
-4.002802199999999817e-03 2.949873911303549450e-14 1.300412637363689498e-12 1.607138287106869870e-12 5.587134279058648400e-12 6.990646930450273721e-10 4.102973846000831270e-16 9.018890356197999791e-07 2.829475346168012275e-21
-3.202241800000000041e-03 1.796947747891559001e-10 7.186766921418976145e-09 8.754819253728692734e-09 2.327946046032087965e-08 2.911899634095647137e-06 9.773041633498196993e-13 2.147349416786511339e-03 2.092600060911113968e-18
-2.401681299999999797e-03 4.644234673553647873e-07 1.596327120471012051e-05 1.900824810963219267e-05 3.245325475413551403e-05 4.057383059554618525e-03 4.555497640106735114e-10 1.000000000000000000e+00 2.827956939873321514e-21
-1.601120900000000020e-03 3.963581294353167150e-04 1.038365663858724017e-02 1.185206788212836426e-02 8.008024016599479475e-03 1.000000000000000000e+00 1.296061269361528970e-12 4.034238470546554732e-03 8.798589407030457491e-20
-8.005603999999999932e-04 7.151906889901653297e-02 9.810343989388840003e-01 1.000000000000000000e+00 7.190764040400760254e-05 1.083014054242868555e-02 1.146822764713858006e-11 6.252119416272889401e-06 1.241392157701991433e-16
0.000000000000000000e+00 1.000000000000000000e+00 9.020058707678179120e-06 2.879704818283854162e-01 5.424804735264673286e-05 7.747061931752651778e-05 7.611741738089681297e-09 7.603481434610881183e-09 2.743472919733324070e-13
8.005603999999999932e-04 7.174872616471734965e-02 1.000000000000000000e+00 9.778374935499102305e-01 1.080674870226111355e-02 1.021982308154939555e-04 6.255001141472304774e-06 1.217236333010448627e-11 6.939685899872687170e-10
1.601120900000000020e-03 3.981741125010893902e-04 1.060439522526892241e-02 1.161257233783839424e-02 1.000000000000000000e+00 7.966414199675267427e-03 4.034754662586749127e-03 2.462101334271245220e-12 1.534495312335066352e-06
2.401681299999999797e-03 4.668761212557255665e-07 1.631562531707208118e-05 1.863931925202069254e-05 4.057843247689732653e-03 3.236470119042498162e-05 1.000000000000000000e+00 4.533289256677509520e-10 2.143154654079538340e-03
3.202241800000000041e-03 1.807110807904917066e-10 7.348352097222992981e-09 8.588388963064192427e-09 2.912260926481906667e-06 2.323926626443324307e-08 2.147212822850221459e-03 9.743108218816534779e-13 1.000000000000000000e+00
4.002802199999999817e-03 2.967135095346985781e-14 1.329922451612588253e-12 1.576910892595291916e-12 6.991151130280279050e-10 5.580403473393685042e-12 9.017370030144553129e-07 4.093392999648460302e-16 1.353383699728164620e-03
4.803362700000000061e-03 2.426503549520800696e-18 1.164381172744678409e-16 1.394518915646529322e-16 7.417798899814854501e-14 5.922088845003849213e-16 1.362979663038574172e-10 6.188733078982689026e-20 3.793982013231967582e-07
