# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
1.465551889999999920e-02 1.358966274584277010e-33 6.078339743494205126e-35 4.459662325729024122e-34 6.474270541046640808e-34
1.551760819999999964e-02 4.583002331386020989e-33 3.456204633657125131e-34 3.504247362504071259e-36 1.007099457659638346e-35
1.637969749999999836e-02 1.001212537673679090e-34 6.006387372474089063e-36 5.789932571956600067e-35 1.325285336624992968e-34
1.724178690000000014e-02 1.347097588988377901e-32 1.229172861392863916e-32 1.171654293453476765e-33 2.604795919071062353e-35
1.810387620000000058e-02 1.937888014997185101e-34 1.455124847631223910e-34 8.775784977910452728e-37 1.520002367897024655e-33
1.896596559999999890e-02 7.711865330019348326e-35 2.514142637223661122e-34 1.569089584261075089e-33 7.336789042884548678e-33
1.982805489999999934e-02 1.561034347468529574e-32 1.589974086194694507e-34 1.225170229507795341e-33 1.955225717423476615e-35
2.069014430000000113e-02 4.988529308367302974e-33 1.050919689103467496e-32 1.195028159225498490e-33 3.294244285996770459e-34
2.155223360000000157e-02 1.742770255105364235e-32 5.872035806816063433e-34 7.510650450084972329e-33 1.304999546005800226e-32
2.241432299999999989e-02 3.351490830029592984e-33 1.550286123106207850e-33 9.260506927917120926e-33 2.497048435147255936e-33
2.327641230000000033e-02 6.486986084356941007e-33 8.464427177172396384e-33 2.765734187145438879e-36 9.651300792104447300e-33
2.413850169999999865e-02 2.290566801794988863e-33 7.062698730450830401e-33 1.633809739809153343e-37 1.070133130090671650e-33
2.500059099999999909e-02 8.164991021921071337e-32 1.772834352251382897e-32 5.623342579309775256e-36 2.007817128604502448e-32
2.586268029999999954e-02 6.834800423977253386e-31 2.516197525625053608e-31 6.918606926255379882e-32 7.351170250472809776e-32
2.672476970000000132e-02 1.272668850671153975e-31 3.575655489177655683e-31 7.551309481906829268e-32 1.468981513848352214e-31
2.758685899999999830e-02 1.280998250828518361e-33 2.207082006299456046e-32 8.650656393361742471e-33 5.906237106717025246e-35
2.844894840000000008e-02 1.136471332090305691e-31 2.953583109587613503e-31 4.460282551883451012e-32 2.025230871930846557e-32
2.931103770000000053e-02 1.414747616535616570e-32 4.007505068479157645e-31 8.056418790803834804e-31 2.274374266892411631e-30
3.017312709999999884e-02 1.101632100897090421e-30 1.846988439607310255e-31 6.710289486637428396e-32 5.346127153594403017e-31
3.103521639999999929e-02 4.110774452527947690e-31 2.349936015716604302e-32 8.164125292577519786e-33 3.563794663498714060e-32
3.189730579999999760e-02 7.336555353765871604e-31 8.972584494198989123e-33 8.672941723084165026e-32 1.858526032556279084e-30
3.275939509999999805e-02 1.422575893868341944e-30 3.331709881978478959e-31 2.630628604710099081e-31 9.283013126062520659e-31
3.362148439999999849e-02 1.942653936565290007e-31 5.137403052847968269e-32 7.933070429703525433e-32 1.059387427371742933e-30
3.448357380000000028e-02 1.759983523300492289e-29 2.918695623906107346e-31 8.730110047864808563e-31 2.274745074472460060e-30
3.534566310000000072e-02 8.884670193472939795e-31 1.115001287835071219e-30 1.957700987747324042e-32 3.370464286375966291e-31
3.620775250000000250e-02 6.390781580948933561e-30 3.249546696664543214e-30 1.170331199424178374e-31 9.653586924650533905e-31
3.706984180000000295e-02 1.314408693817988984e-30 1.155005165744976304e-29 7.136447482552716143e-30 1.140023919867639799e-30
3.793193119999999779e-02 1.343918388237358836e-32 4.152282266312569420e-31 3.514696241976165311e-31 3.668141180600697541e-31
3.879402049999999824e-02 5.718727423538498087e-30 3.063432329014307404e-29 2.131817219025389792e-30 6.373748862603235522e-30
3.965610990000000002e-02 2.818752110419036428e-29 5.093325969853089245e-30 4.627713242843986403e-30 1.437294267135332625e-32
4.051819920000000047e-02 2.556782607431105697e-29 6.121446296767499520e-32 2.256511958625764228e-29 5.241591731537410624e-29
4.138028850000000092e-02 1.212543495563960721e-28 7.074332817541272268e-25 2.398365083895967842e-30 2.592576487110964027e-24
4.224237790000000270e-02 4.153609914278452264e-29 3.170167905324800213e-19 1.683095498239141312e-29 1.143215748712491976e-18
4.310446720000000315e-02 4.494063471906648202e-30 6.660785664855929287e-14 4.870130832681087647e-31 2.377599556914131856e-13
4.396655659999999799e-02 7.173960951220476298e-30 5.381554120171066371e-09 6.728683892555372203e-27 1.889623376005612090e-08
4.482864589999999844e-02 4.645361475327792010e-25 1.176447168043272528e-04 1.318469727215005303e-22 4.001750152725703819e-04
4.569073530000000022e-02 1.372511107662539109e-21 3.220137439635640253e-01 3.275452504050067452e-19 1.000000000000000000e+00
4.655282460000000067e-02 4.763474948890536196e-21 1.000000000000000000e+00 1.033471824027976872e-19 3.220210405085556227e-01
4.741491400000000245e-02 1.529945567601882520e-24 3.547561959790238788e-04 3.970551407461959071e-23 1.249613051530093185e-04
4.827700330000000289e-02 1.856772325325870087e-30 1.324232284317364392e-08 1.415192533729815951e-27 4.800175287449964889e-09
4.913909260000000334e-02 3.198916187529890298e-29 1.168220407908096186e-13 5.132925984288503850e-29 4.293847138347330280e-14
5.000118199999999818e-02 6.043032047003130705e-30 3.515333867290176001e-19 2.821159633699962207e-30 1.302571179907216207e-19
5.086327129999999863e-02 7.472539909212550763e-30 4.504182990084212189e-25 7.559687763099482631e-32 1.635658336331264702e-25
5.172536070000000041e-02 4.223872624499747017e-29 2.219410608912653649e-29 6.058885903054759243e-31 1.488145524195908956e-30
