# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7 psi2_state_8 psi2_state_9 psi2_state_10 psi2_state_11 psi2_state_12 psi2_state_13
-8.154392979999999791e-02 4.339278946392204098e-32 8.020302693103171963e-33 1.824727317896160308e-31 1.727638416558736736e-31 1.618210350838030319e-31 6.514021515721406969e-34 1.053664374352596763e-31 1.539670697061081515e-33 2.479221757357673959e-33 1.611194567998985153e-32 2.156270310523864888e-33 1.666390155545272396e-32 3.663651534719224277e-32 2.898225521225705420e-33
-8.063788610000000023e-02 1.182592631430206497e-32 6.016328092898083067e-33 4.383262024339397852e-33 1.287390854182716875e-31 9.082430583254072411e-32 1.280922894537173123e-32 2.284374066312757387e-31 9.274660425751306770e-33 3.327737577003250613e-32 1.675739297767000364e-33 3.748377981341046960e-32 2.359641931484021047e-33 1.432625550208875767e-32 3.950494201201447536e-33
-7.973184249999999695e-02 8.853501380541217250e-32 2.175515901763865516e-32 1.603554986194615771e-34 1.492603564142106483e-32 3.862641415869366887e-32 1.425903258358871596e-31 1.706360388293778126e-32 8.776365582034372102e-32 3.565417009280195546e-34 2.270856965562795331e-32 2.182516059893737270e-33 3.633251200152525437e-33 4.002943790328098427e-32 4.479558590966546410e-32
-7.882579879999999928e-02 1.463540948869057879e-31 7.125510012543522004e-33 5.432523638215846264e-33 1.185842492156934518e-32 1.444024525065702510e-31 1.873992668436116748e-33 1.929095216025708744e-32 7.346843787301603653e-32 1.688797097296824384e-33 3.536878420184560908e-33 5.862486068725464761e-33 7.926499144058663687e-34 3.406049609673187964e-33 3.256769199833054698e-32
-7.791975510000000160e-02 7.407159769848022152e-32 9.916542796415944795e-33 1.742653842947767480e-31 3.920379611336733047e-31 8.425842134651158900e-36 5.751787618563546701e-32 5.801957519401428201e-35 4.604678565417912991e-33 3.095310291379198497e-32 4.021879026138316938e-34 9.829747485640933204e-34 1.001742812488482953e-33 3.211897248194310321e-33 2.040534752995498900e-32
-7.701371149999999832e-02 5.558031996216173922e-33 1.352228747329677032e-32 3.018800055426086739e-34 9.904460397324375458e-33 2.422127840864584902e-33 2.257857576267894429e-35 7.264755565436440482e-32 1.255806583981301375e-31 6.530746491057841989e-34 6.453137930593466778e-34 4.880204334877688094e-32 1.303795900072234905e-32 5.600822048440304306e-32 1.040331539700013008e-35
-7.610766780000000065e-02 1.961034356913529576e-35 9.286953976263338135e-33 6.855022551639171057e-35 2.286396778929568612e-33 1.078123482012578131e-32 1.061631355321527147e-33 3.999248458554048143e-33 5.142789803130288144e-33 7.473835585472226190e-33 1.151290743490995579e-32 6.686790811388847871e-33 2.290576987255004895e-32 2.306840935209474967e-33 2.615782941626738192e-31
-7.520162410000000297e-02 5.625911344485590041e-34 5.654675830725458514e-34 2.831300520842180826e-33 7.308295043465940944e-34 5.744685434042516283e-34 3.231342407551983445e-32 6.732468540769675315e-32 4.702251174610475899e-33 1.024665031251095308e-32 2.358125280252863968e-33 4.785560406112760376e-33 2.842578452392723865e-33 4.947458683235448941e-32 7.077482781926082813e-34
-7.429558049999999969e-02 2.668851283849528676e-33 2.929873083422275528e-32 1.838050561750003777e-32 4.200589461466422900e-32 1.621048907815574527e-31 3.679036413426817472e-32 1.717280514458624083e-32 6.158330594900520412e-32 4.028119152668513137e-34 5.214385231203205597e-34 1.018170059046037152e-32 2.306733859572150130e-33 6.469937643562464756e-33 3.044207436473332719e-32
-7.338953680000000201e-02 3.016321977255100027e-32 3.314844011688565726e-34 1.300910252724062635e-33 1.995090260243466570e-32 1.395122295919691783e-32 2.004078799886786851e-31 1.413571881828257261e-32 1.025569734400611131e-32 8.876528070621657099e-34 3.278507437985272470e-34 1.254804840986737065e-33 5.481454525685284574e-34 7.254076228830551085e-32 1.655604955874558825e-34
