# Field(kV/cm) Polarization(microC/cm2)
153.750000 0.000509
155.000000 0.000514
156.250000 0.000519
157.500000 0.000524
158.750000 0.000530
160.000000 0.000535
161.250000 0.000540
162.500000 0.000546
163.750000 0.000551
165.000000 0.000556
166.250000 0.000562
167.500000 0.000567
168.750000 0.000573
170.000000 0.000578
171.250000 0.000584
172.500000 0.000589
173.750000 0.000595
175.000000 0.000601
176.250000 0.000606
177.500000 0.000612
178.750000 0.000618
180.000000 0.000624
181.250000 0.038642
182.500000 0.586023
183.750000 0.586028
185.000000 0.586034
186.250000 0.586039
187.500000 0.586044
188.750000 0.586049
190.000000 0.586055
191.250000 0.586060
192.500000 0.586065
193.750000 0.586070
195.000000 0.586075
196.250000 0.586080
197.500000 0.586085
198.750000 0.586090
200.000000 0.586095
201.250000 0.586100
202.500000 0.586105
203.750000 0.586110
205.000000 0.586115
206.250000 0.586120
207.500000 0.586125
208.750000 0.586130
210.000000 0.586134
211.250000 0.586139
212.500000 0.586144
213.750000 0.586149
215.000000 0.586153
216.250000 0.586158
217.500000 0.586163
218.750000 0.586167
220.000000 0.586172
221.250000 0.586176
222.500000 0.586181
223.750000 0.586185
225.000000 0.586190
226.250000 0.586194
227.500000 0.586199
228.750000 0.586203
230.000000 0.586207
231.250000 0.586212
232.500000 0.586216
233.750000 0.586220
235.000000 0.586225
236.250000 0.586229
237.500000 0.586233
238.750000 0.586238
240.000000 0.586242
241.250000 0.586246
242.500000 0.586250
243.750000 0.586254
245.000000 0.586258
246.250000 0.586263
247.500000 0.586267
248.750000 0.586271
250.000000 0.586275
251.250000 0.586279
252.500000 0.586283
253.750000 0.586287
255.000000 0.586291
256.250000 0.586295
257.500000 0.586299
258.750000 0.586303
260.000000 0.586307
261.250000 0.586311
262.500000 0.586314
263.750000 0.586318
265.000000 0.586322
266.250000 0.586326
267.500000 0.586330
268.750000 0.586334
270.000000 0.586337
271.250000 0.586341
272.500000 0.586345
273.750000 0.586349
275.000000 0.586352
276.250000 0.586356
277.500000 0.586360
278.750000 0.586364
280.000000 0.586367
281.250000 0.586371
282.500000 0.586375
283.750000 0.586378
285.000000 0.586382
286.250000 0.586385
287.500000 0.586389
288.750000 0.586393
290.000000 0.586396
291.250000 0.586400
292.500000 0.586403
293.750000 0.586407
295.000000 0.586410
296.250000 0.586414
297.500000 0.586417
298.750000 0.586421
300.000000 0.586424
301.250000 0.586428
302.500000 0.586431
303.750000 0.586435
305.000000 0.586438
306.250000 0.586442
307.500000 0.586445
308.750000 0.586448
310.000000 0.586452
311.250000 0.586455
312.500000 0.586459
313.750000 0.586462
315.000000 0.586465
316.250000 0.586469
317.500000 0.586472
318.750000 0.586475
320.000000 0.586479
321.250000 0.586482
322.500000 0.586485
323.750000 0.586489
325.000000 0.586492
326.250000 0.586495
327.500000 0.586499
328.750000 0.586502
330.000000 0.586505
331.250000 0.586508
332.500000 0.586512
333.750000 0.586515
335.000000 0.586518
336.250000 0.586521
337.500000 0.586525
338.750000 0.586528
340.000000 0.586531
341.250000 0.586534
342.500000 0.586537
343.750000 0.586541
345.000000 0.586544
346.250000 0.586547
347.500000 0.586550
348.750000 0.586553
350.000000 0.586557
351.250000 0.586560
352.500000 0.586563
353.750000 0.586566
355.000000 0.586569
356.250000 0.586572
357.500000 0.586575
358.750000 0.586579
360.000000 0.586582
361.250000 0.586585
362.500000 0.586588
363.750000 0.586591
365.000000 0.586594
366.250000 0.586597
367.500000 0.586600
368.750000 0.586604
370.000000 0.586607
371.250000 0.586610
372.500000 0.586613
373.750000 0.586616
375.000000 0.586619
376.250000 0.586622
377.500000 0.586625
378.750000 0.586628
380.000000 0.586632
381.250000 0.586635
382.500000 0.586638
383.750000 0.586641
385.000000 0.586644
386.250000 0.586647
387.500000 0.586650
388.750000 0.586653
390.000000 0.586656
391.250000 0.586659
392.500000 0.586662
393.750000 0.586666
395.000000 0.586669
396.250000 0.586672
397.500000 0.586675
398.750000 0.586678
400.000000 0.586681
401.250000 0.586684
402.500000 0.586687
403.750000 0.586690
405.000000 0.586693
406.250000 0.586696
407.500000 0.586700
408.750000 0.586703
410.000000 0.586706
411.250000 0.586709
412.500000 0.586712
413.750000 0.586715
415.000000 0.586718
416.250000 0.586721
417.500000 0.586724
418.750000 0.586728
420.000000 0.586731
421.250000 0.586734
422.500000 0.586737
423.750000 0.586740
425.000000 0.586743
426.250000 0.586746
427.500000 0.586749
428.750000 0.586753
430.000000 0.586756
431.250000 0.586759
432.500000 0.586762
433.750000 0.586765
435.000000 0.586768
436.250000 0.586771
437.500000 0.586775
438.750000 0.586778
440.000000 0.586781
441.250000 0.586784
442.500000 0.586787
443.750000 0.586791
445.000000 0.586794
446.250000 0.586797
447.500000 0.586800
448.750000 0.586803
450.000000 0.586807
451.250000 0.586810
452.500000 0.586813
453.750000 0.586816
455.000000 0.586820
456.250000 0.586823
457.500000 0.586826
458.750000 0.586829
460.000000 0.586833
461.250000 0.586836
462.500000 0.586839
463.750000 0.586843
465.000000 0.586846
466.250000 0.586849
467.500000 0.586853
468.750000 0.586856
470.000000 0.586859
471.250000 0.586863
472.500000 0.586866
473.750000 0.586869
475.000000 0.586873
476.250000 0.586876
477.500000 0.586880
478.750000 0.586883
480.000000 0.586886
481.250000 0.586890
482.500000 0.586893
483.750000 0.586897
485.000000 0.586900
486.250000 0.586904
487.500000 0.586907
488.750000 0.586911
490.000000 0.586914
491.250000 0.586918
492.500000 0.586921
493.750000 0.586925
495.000000 0.586928
496.250000 0.586932
497.500000 0.586935
498.750000 0.586939
500.000000 0.586942
